date,brand,racquet,grade,grip,used_price,new_price,sku
2026-08-06,Tecnifibre,Tecnifibre TFight 305S Racquet,Grade C,"4 3/8""",189.0,279.0,UR8B19E
2026-08-06,Tecnifibre,Tecnifibre TFight 305S Racquet,Grade C,"4 3/8""",189.0,279.0,UR8B18C
2026-08-06,Tecnifibre,Tecnifibre TFight 305S Racquet,Grade C,"4 1/2""",229.0,279.0,UR0C39A
2026-08-06,Tecnifibre,Tecnifibre TFight 315S Racquet,Grade B,"4 1/4""",209.0,279.0,UR8A20F
2026-08-06,Tecnifibre,Tecnifibre TFight 315S Racquet,Grade B,"4 1/2""",209.0,279.0,UR0B35D
2026-08-06,Tecnifibre,Tecnifibre TFight 300 Racquet,Grade B,"4 1/2""",189.0,269.0,UR0C25D
2026-08-06,Tecnifibre,Tecnifibre TFight 300 Racquet,Grade B,"4 1/2""",189.0,269.0,UR0B25C
2026-08-06,Tecnifibre,Tecnifibre Fire 300 Racquet,Grade A,"4 1/4""",219.0,259.0,UR0B29E
2026-08-06,Tecnifibre,Tecnifibre Fire 285 Racquet,Grade A,"4 3/8""",209.0,249.0,UR0C23B
2026-08-06,Tecnifibre,Tecnifibre Fire 285 Racquet,Grade B,"4 3/8""",199.0,249.0,UR0B27B
2026-08-06,Tecnifibre,Tecnifibre Fire 260 OS Racquet,Grade A,"4 1/4""",209.0,249.0,UR0C01E
2026-08-06,Tecnifibre,Tecnifibre TF40 315g (16x19) Racquet 2024,Grade A,"4 1/4""",239.0,199.0,UR0C01F
2026-08-06,Tecnifibre,Tecnifibre TF40 315g (16x19) Racquet 2024,Grade A,"4 3/8""",239.0,199.0,UR0C05A
2026-08-06,Tecnifibre,Tecnifibre TF40 315g (16x19) Racquet 2024,Grade B,"4 3/8""",229.0,199.0,UR0B35F
2026-08-06,Tecnifibre,Tecnifibre TF40 305g (16x19) Racquet 2024,Grade A,"4 1/2""",159.0,199.0,URD0D07E
2026-08-06,Tecnifibre,Tecnifibre TF40 305g (16x19) Racquet 2024,Grade A,"4 1/2""",159.0,199.0,UR0C25E
2026-08-06,Tecnifibre,Tecnifibre TF40 290g (16x19) Racquet 2024,Grade B,"4 1/4""",209.0,199.0,UR0C07C
2026-08-06,Wilson,Wilson Blade 98 16x19 v9 Racquet,Grade A,"4 3/8""",209.0,249.0,UR8B13E
2026-08-06,Wilson,Wilson Ultra Pro 16x19 v4 Racquet,Grade A,"4 1/4""",119.0,159.0,UR8B20D
2026-08-06,Wilson,Wilson Ultra Pro 16x19 v4 Racquet,Grade B,"4 1/4""",109.0,159.0,UR8B06E
2026-08-06,Wilson,Wilson Clash 100 v3 Racquet,Grade B,"4 1/8""",229.0,299.0,UR8B12E
2026-08-06,Head,Head Speed MP Racquet,Grade B,"4 1/2""",119.0,164.0,UR8B19C
2026-08-06,Head,Head Radical Pro 2023 Racquet,Grade B,"4 1/4""",109.0,149.0,UR8B14D
2026-08-07,Wilson,Wilson Blade Pro 100 v10 Racquet,Grade A,"4 1/4""",259.0,299.0,UR8A09E
2026-08-07,Wilson,Wilson Blade Pro 100 v10 Racquet,Grade B,"4 3/8""",249.0,299.0,UR0B23E
2026-08-07,Wilson,Wilson Blade Pro 100 v10 Racquet,Grade B,"4 1/2""",249.0,299.0,URD0E01B
2026-08-07,Wilson,Wilson Blade 100 v10 Racquet,Grade A,"4 1/4""",239.0,299.0,UR8A16E
2026-08-07,Wilson,Wilson Blade 98 16x19 v9 Racquet,Grade A,"4 3/8""",209.0,249.0,UR8B13E
2026-08-07,Wilson,Wilson Blade 98 16x19 v9 Racquet,Grade A,"4 3/8""",209.0,249.0,UR8B18G
2026-08-07,Wilson,Wilson Blade 98 16x19 v9 Racquet,Grade B,"4 3/8""",199.0,249.0,UR8B08G
2026-08-07,Wilson,Wilson Blade 98 18x20 v9 Racquet,Grade C,"4 3/8""",189.0,249.0,UR8B07A
2026-08-07,Wilson,Wilson Blade 98S v9 Racquet,Grade A,"4 1/8""",209.0,249.0,UR8A15A
2026-08-07,Wilson,Wilson Blade 98S v9 Racquet,Grade A,"4 1/8""",209.0,249.0,UR8A11A
2026-08-07,Wilson,Wilson Blade 100 v9 Racquet,Grade B,"4 1/4""",199.0,249.0,UR0B21C
2026-08-07,Wilson,Wilson Blade 100UL v9 Racquet,Grade B,"4 3/8""",159.0,229.0,UR0C31B
2026-08-07,Wilson,Wilson Blade 104 v9 Racquet,Grade B,"4 1/4""",199.0,249.0,UR8B15D
2026-08-07,Wilson,Wilson Blade 104 v9 Racquet,Grade C,"4 1/4""",179.0,249.0,UR0C05F
2026-08-07,Wilson,Wilson Blade 104 v9 Racquet,Grade B,"4 3/8""",199.0,249.0,UR8A15C
2026-08-07,Wilson,Wilson RF 01 Pro Racquet,Grade B,"4 3/8""",259.0,349.0,UR0C17C
2026-08-07,Wilson,Wilson RF 01 Pro Racquet,Grade B,"4 1/2""",259.0,349.0,UR0C29A
2026-08-07,Wilson,Wilson RF 01 Pro Racquet,Grade B,"4 1/2""",259.0,349.0,UR8A13B
2026-08-07,Wilson,Wilson RF 01 Pro Racquet,Grade B,"4 1/2""",259.0,349.0,UR8A06B
2026-08-07,Wilson,Wilson RF 01 Pro Racquet,Grade B,"4 1/2""",259.0,349.0,UR8A17B
2026-08-07,Wilson,Wilson RF 01 Pro Racquet,Grade B,"4 1/2""",259.0,349.0,UR8A18A
2026-08-07,Wilson,Wilson RF 01 Pro Racquet,Grade B,"4 1/2""",259.0,349.0,UR8A05G
2026-08-07,Wilson,Wilson RF 01 Racquet,Grade B,"4 1/8""",249.0,329.0,UR8A20E
2026-08-07,Wilson,Wilson RF 01 Racquet,Grade B,"4 1/4""",249.0,329.0,UR8A13D
2026-08-07,Wilson,Wilson RF 01 Racquet,Grade A,"4 3/8""",259.0,329.0,UR8A10F
2026-08-07,Wilson,Wilson RF 01 Racquet,Grade B,"4 3/8""",249.0,329.0,UR8B14G
2026-08-07,Wilson,Wilson RF 01 Racquet,Grade B,"4 3/8""",249.0,329.0,UR8A03G
2026-08-07,Wilson,Wilson RF 01 Future Racquet,Grade B,"4 1/4""",229.0,309.0,UR8B12D
2026-08-07,Wilson,Wilson Blade Pro 98 16x19 v9 Racquet,Grade B,"4 1/2""",199.0,269.0,UR8B05B
2026-08-07,Wilson,Wilson Blade Pro 98 16x19 v9 Racquet,Grade C,"4 1/2""",199.0,269.0,UR0C17D
2026-08-07,Wilson,Wilson Blade Pro 98 16x19 v9 Racquet,Grade C,"4 1/2""",199.0,269.0,UR0C17B
2026-08-07,Wilson,Wilson Blade Pro 98 16x19 v9 Racquet,Grade C,"4 1/2""",199.0,269.0,UR0C17F
2026-08-07,Wilson,Wilson Blade Pro 98 18x20 v9 Racquet,Grade B,"4 3/8""",189.0,269.0,UR0C11E
2026-08-07,Wilson,Wilson Blade Pro 98 18x20 v9 Racquet,Grade B,"4 3/8""",189.0,269.0,UR8A02B
2026-08-07,Wilson,Wilson Blade Pro 98 18x20 v9 Racquet,Grade B,"4 3/8""",189.0,269.0,UR8A02C
2026-08-07,Wilson,Wilson Ultra Pro 16x19 v4 Racquet,Grade A,"4 1/4""",119.0,159.0,UR8B20D
2026-08-07,Wilson,Wilson Ultra Pro 16x19 v4 Racquet,Grade B,"4 1/4""",109.0,159.0,UR8B06E
2026-08-07,Wilson,Wilson Ultra Pro 18x20 v4 Racquet,Grade B,"4 1/4""",119.0,159.0,UR8B04A
2026-08-07,Wilson,Wilson Ultra 99 Pro v5 Racquet,Grade B,"4 1/4""",229.0,299.0,UR8A06A
2026-08-07,Wilson,Wilson Ultra 99 Pro v5 Racquet,Grade B,"4 3/8""",229.0,299.0,UR8A17G
2026-08-07,Wilson,Wilson Labs Project Shift 99 300g Racquet,Grade A,"4 1/4""",209.0,269.0,UR0B29D
2026-08-07,Wilson,Wilson Clash 100 v3 Racquet,Grade B,"4 1/8""",229.0,299.0,UR8B12E
2026-08-07,Wilson,Wilson Clash 100 v3 Racquet,Grade B,"4 1/2""",229.0,299.0,URD0D07C
2026-08-07,Wilson,Wilson Clash 100 Pro v3 Racquet,Grade B,"4 1/4""",189.0,299.0,UR0C05B
