brand,racquet,grade,grip,used_price,new_price,discount_pct,new_cheaper,in_stock,sku,code,list_price,rating,reviews,specs,nspec,url,is_new,verdict,median,basis,was_price
Wilson,Wilson Ultra 100UL v5 Racquet,Grade B,"4 3/8""",209.0,279.0,25,False,1,UR0B25F,WU1UL5,,5.0,1,"{'head': '100 in² / 645.16 cm²', 'length': '27in / 68.58cm', 'weight': '9.7oz / 275g', 'balance': '13.7in / 34.8cm / 2 pts HH', 'swingweight': '290', 'stiffness': '65', 'beam': '24mm / 26.5mm / 24.5mm', 'composition': 'Carbon Fiber Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Wilson Pro Performance', 'tension': '50-60 pounds'}","{'head_in2': 100.0, 'weight_oz': 9.7, 'weight_g': 275.0, 'swingweight': 290.0, 'stiffness': 65.0, 'balance_pts': 2.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=WU1UL5,False,,,,
Yonex,Yonex EZONE 100L (2025) Racquet,Grade B,"4 1/4""",229.0,305.0,25,False,1,UR8A13B,EZ1LBB,,4.0,3,"{'head': '100 in² / 645.16 cm²', 'length': '27in / 68.58cm', 'weight': '10.6oz / 301g', 'balance': '13.18in / 33.48cm / 3 pts HL', 'swingweight': '310', 'stiffness': '67', 'beam': '24.5mm / 26.5mm / 23mm', 'composition': 'Minolon/2NAMD-Speed/HM Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Synthetic', 'tension': '40-55 pounds'}","{'head_in2': 100.0, 'weight_oz': 10.6, 'weight_g': 301.0, 'swingweight': 310.0, 'stiffness': 67.0, 'balance_pts': -3.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=EZ1LBB,False,typical,229.0,"3 past prices, this grade",
Yonex,Yonex EZONE 100L (2025) Racquet,Grade B,"4 3/8""",229.0,305.0,25,False,1,UR8A19B,EZ1LBB,,4.0,3,"{'head': '100 in² / 645.16 cm²', 'length': '27in / 68.58cm', 'weight': '10.6oz / 301g', 'balance': '13.18in / 33.48cm / 3 pts HL', 'swingweight': '310', 'stiffness': '67', 'beam': '24.5mm / 26.5mm / 23mm', 'composition': 'Minolon/2NAMD-Speed/HM Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Synthetic', 'tension': '40-55 pounds'}","{'head_in2': 100.0, 'weight_oz': 10.6, 'weight_g': 301.0, 'swingweight': 310.0, 'stiffness': 67.0, 'balance_pts': -3.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=EZ1LBB,False,typical,229.0,"3 past prices, this grade",
Head,Head Gravity Tour 2025 Racquet,Grade B,"4 3/8""",169.0,219.0,23,False,2,URD0D01E,HGTRR,299.0,4.5,17,"{'head': '98 in² / 632.26 cm²', 'length': '27in / 68.58cm', 'weight': '11.4oz / 323g', 'balance': '12.99in / 32.99cm / 4 pts HL', 'swingweight': '328', 'stiffness': '59', 'beam': '22mm / 22mm / 22mm', 'composition': ': Graphene Inside/Auxetic 2/Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Head Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 98.0, 'weight_oz': 11.4, 'weight_g': 323.0, 'swingweight': 328.0, 'stiffness': 59.0, 'balance_pts': -4.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HGTRR,False,typical,169.0,"5 past prices, this grade",209.0
Head,Head Gravity Tour 2025 Racquet,Grade B,"4 1/2""",169.0,219.0,23,False,1,UR0C23C,HGTRR,299.0,4.5,17,"{'head': '98 in² / 632.26 cm²', 'length': '27in / 68.58cm', 'weight': '11.4oz / 323g', 'balance': '12.99in / 32.99cm / 4 pts HL', 'swingweight': '328', 'stiffness': '59', 'beam': '22mm / 22mm / 22mm', 'composition': ': Graphene Inside/Auxetic 2/Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Head Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 98.0, 'weight_oz': 11.4, 'weight_g': 323.0, 'swingweight': 328.0, 'stiffness': 59.0, 'balance_pts': -4.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HGTRR,False,typical,169.0,"5 past prices, this grade",209.0
Head,Head Gravity Tour 2025 Racquet,Grade B,"4 1/2""",169.0,219.0,23,False,1,UR0C29B,HGTRR,299.0,4.5,17,"{'head': '98 in² / 632.26 cm²', 'length': '27in / 68.58cm', 'weight': '11.4oz / 323g', 'balance': '12.99in / 32.99cm / 4 pts HL', 'swingweight': '328', 'stiffness': '59', 'beam': '22mm / 22mm / 22mm', 'composition': ': Graphene Inside/Auxetic 2/Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Head Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 98.0, 'weight_oz': 11.4, 'weight_g': 323.0, 'swingweight': 328.0, 'stiffness': 59.0, 'balance_pts': -4.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HGTRR,False,typical,169.0,"5 past prices, this grade",209.0
Head,Head Extreme MP XL Racquet,Grade B,"4 1/4""",199.0,259.0,23,False,1,UR8B20G,HEMPXL,,4.8,4,"{'head': '100 in² / 645.16 cm²', 'length': '27.5in / 69.85cm', 'weight': '11.2oz / 318g', 'balance': '12.99in / 32.99cm / 6 pts HL', 'swingweight': '326', 'stiffness': '63', 'beam': '23mm / 26mm / 21mm', 'composition': 'Boron, Auxetic 2, Graphene, Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 100.0, 'weight_oz': 11.2, 'weight_g': 318.0, 'swingweight': 326.0, 'stiffness': 63.0, 'balance_pts': -6.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HEMPXL,False,,,,
Head,Head Extreme MP Racquet,Grade C,"4 3/8""",199.0,259.0,23,False,1,UR0C17F,HREM26,,4.0,2,"{'head': '100 in² / 645.16 cm²', 'length': '27in / 68.58cm', 'weight': '11.2oz / 318g', 'balance': '12.99in / 32.99cm / 4 pts HL', 'swingweight': '318', 'stiffness': '67', 'beam': '23mm / 26mm / 21mm', 'composition': 'Boron, Auxetic 2, Graphene, Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 100.0, 'weight_oz': 11.2, 'weight_g': 318.0, 'swingweight': 318.0, 'stiffness': 67.0, 'balance_pts': -4.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HREM26,False,,,,
Tecnifibre,Tecnifibre Fire 300 Racquet,Grade C,"4 3/8""",199.0,259.0,23,False,1,UR0B21D,TFFI30,,5.0,1,"{'head': '100 in² / 645.16 cm²', 'length': '27in / 68.58cm', 'weight': '11.2oz / 318g', 'balance': '13in / 33.02cm / 4 pts HL', 'swingweight': '318', 'stiffness': '69', 'beam': '24.5mm / 25mm / 24.5mm', 'composition': 'Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Tecnifibre Synthetic', 'tension': '49-55 pounds'}","{'head_in2': 100.0, 'weight_oz': 11.2, 'weight_g': 318.0, 'swingweight': 318.0, 'stiffness': 69.0, 'balance_pts': -4.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=TFFI30,False,,,,259.0
Wilson,Wilson Ultra 99 Pro v5 Racquet,Grade B,"4 1/4""",229.0,299.0,23,False,1,UR8A06A,WU99P5,,4.8,4,"{'head': '99 in² / 638.71 cm²', 'length': '27in / 68.58cm', 'weight': '11.4oz / 323g', 'balance': '13.17in / 33.45cm / 3 pts HL', 'swingweight': '330', 'stiffness': '69', 'beam': '22mm / 23.5mm / 21.5mm', 'composition': 'Carbon Fiber Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Wilson Pro Performance', 'tension': '50-60 pounds'}","{'head_in2': 99.0, 'weight_oz': 11.4, 'weight_g': 323.0, 'swingweight': 330.0, 'stiffness': 69.0, 'balance_pts': -3.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=WU99P5,False,typical,228.05431236452017,"4 past prices across grades, adjusted to Grade B",
Wilson,Wilson Ultra 99 Pro v5 Racquet,Grade A,"4 3/8""",229.0,299.0,23,False,1,UR0B23E,WU99P5,,4.8,4,"{'head': '99 in² / 638.71 cm²', 'length': '27in / 68.58cm', 'weight': '11.4oz / 323g', 'balance': '13.17in / 33.45cm / 3 pts HL', 'swingweight': '330', 'stiffness': '69', 'beam': '22mm / 23.5mm / 21.5mm', 'composition': 'Carbon Fiber Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Wilson Pro Performance', 'tension': '50-60 pounds'}","{'head_in2': 99.0, 'weight_oz': 11.4, 'weight_g': 323.0, 'swingweight': 330.0, 'stiffness': 69.0, 'balance_pts': -3.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=WU99P5,False,typical,238.9910396732521,"4 past prices across grades, adjusted to Grade A",238.0
